,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_the_most_natural_answer_to_the_question_above,choose_the_most_natural_answer_to_the_question_above:confidence,_created_at,orig__unit_id,_updated_at,choose_the_most_natural_answer_to_the_question_above_gold,choose_the_most_natural_answer_to_the_question_above_gold_reason,would_you_be_able_to_tell_me_what_the_balance_on_my_room_is,Label,Diff,Low_confidence,Low_confidence & diff,both_low_conf_with_diff,high_conf_toby_low_conf_info_desk_with_diff,label_ml
400,1811815877,FALSE,finalized,5,7/15/2018 22:41:31,2,0.77,7/13/2018 18:16:54,1810988213,7/13/2018 18:16:54,,,How long is the class and what's the price?,1,0,0,0,0,0,1
401,1811818711,FALSE,finalized,5,7/15/2018 19:05:39,2,1,7/13/2018 18:17:18,1810991135,7/13/2018 18:17:18,,,What time can we check in?,1,0,0,0,0,0,1
402,1811814200,FALSE,finalized,5,7/15/2018 18:57:04,2,0.7963,7/13/2018 18:16:41,1810986497,7/13/2018 18:16:41,,,Thanks and is there a wine store nearby?,1,0,0,0,0,0,1
403,1811818579,FALSE,finalized,5,7/15/2018 18:47:20,2,1,7/13/2018 18:17:17,1810991000,7/13/2018 18:17:17,,,And how long of a drive from airport?,1,0,0,0,0,0,1
404,1811814966,FALSE,finalized,5,7/15/2018 5:42:56,2,0.8119,7/13/2018 18:16:47,1810987285,7/13/2018 18:16:47,,,What time can we check in tomorrow?,1,0,0,0,0,0,1
405,1811813267,FALSE,finalized,6,7/15/2018 15:25:47,3,0.7034,7/13/2018 18:16:33,1810985535,7/13/2018 18:16:33,,,It there any way I can move next door to my daughter who is in 852 tomorrow?,0,0,0,0,0,0,0
406,1811814589,FALSE,finalized,5,7/15/2018 20:50:46,2,1,7/13/2018 18:16:44,1810986897,7/13/2018 18:16:44,,,Is there a place here at the hotel where I could print boarding passes?,1,0,0,0,0,0,1
407,1811816155,FALSE,finalized,5,7/15/2018 9:06:20,2,0.5979,7/13/2018 18:16:56,1810988498,7/13/2018 18:16:56,,,is there someplace she can plant her bags,1,0,1,0,0,0,1
408,1811813404,FALSE,finalized,5,7/15/2018 19:01:48,2,0.7905,7/13/2018 18:16:35,1810985678,7/13/2018 18:16:35,,,What time does the indoor pools and the other pools close?,1,0,0,0,0,0,1
409,1811816065,FALSE,finalized,5,7/16/2018 2:34:11,0,0.8052,7/13/2018 18:16:55,1810988408,7/13/2018 18:16:55,,,How big of a bag of jerky do you want?,0,0,0,0,0,0,2
410,1811813341,FALSE,finalized,5,7/15/2018 1:36:49,2,1,7/13/2018 18:16:34,1810985612,7/13/2018 18:16:34,,,What time does the pool and bowling close?,1,0,0,0,0,0,1
411,1811819195,FALSE,finalized,5,7/15/2018 5:14:37,3,1,7/13/2018 18:17:22,1810991656,7/13/2018 18:17:22,,,I was wondering about what time our room would be available,0,0,0,0,0,0,0
412,1811814772,FALSE,finalized,5,7/16/2018 3:15:39,0,0.6058,7/13/2018 18:16:45,1810987085,7/13/2018 18:16:45,,,Ok can we extend Rob Milner .To,0,0,1,0,0,0,2
413,1811813316,FALSE,finalized,5,7/15/2018 0:28:24,2,0.5825,7/13/2018 18:16:34,1810985586,7/13/2018 18:16:34,,,"Hi this is Shannon Mondejar is room 1004, we have the wifi password but what is the username?",1,0,1,0,0,0,1
414,1811814220,FALSE,finalized,5,7/15/2018 12:01:45,2,0.598,7/13/2018 18:16:41,1810986517,7/13/2018 18:16:41,,,Hi actually yes do you have an amenity hit I just need some deodorant?,1,0,1,0,0,0,1
415,1811818026,FALSE,finalized,5,7/15/2018 22:53:47,2,1,7/13/2018 18:17:12,1810990430,7/13/2018 18:17:12,,,Until what time today does the hotel restaurant serve breakfast?,1,0,0,0,0,0,1
416,1811817557,FALSE,finalized,5,7/15/2018 5:27:12,2,0.7917,7/13/2018 18:17:08,1810989945,7/13/2018 18:17:08,,,"Hi there, Guild, do you offer a government discount?",1,0,0,0,0,0,1
417,1811815928,FALSE,finalized,6,7/15/2018 8:29:40,2,0.8305,7/13/2018 18:16:54,1810988266,7/13/2018 18:16:54,,,Is there a printer where I can print my boarding passes?,1,0,0,0,0,0,1
418,1811814535,FALSE,finalized,6,7/15/2018 13:21:09,2,0.6557,7/13/2018 18:16:43,1810986843,7/13/2018 18:16:43,,,Thx..what time can we Check in ?,1,0,1,0,0,0,1
419,1811817112,FALSE,finalized,5,7/15/2018 19:19:37,2,0.5844,7/13/2018 18:17:04,1810989484,7/13/2018 18:17:04,,,what do you do when it's 95 degrees and you're in the pool and thirsty?,1,0,1,0,0,0,1
420,1811814923,FALSE,finalized,6,7/15/2018 13:42:18,2,0.8187,7/13/2018 18:16:46,1810987238,7/13/2018 18:16:46,,,"We are going to be able to check in anytime 10:30 on , what is the earliest we can Check in ?",1,0,0,0,0,0,1
421,1811815835,FALSE,finalized,6,7/15/2018 15:03:06,2,1,7/13/2018 18:16:54,1810988171,7/13/2018 18:16:54,,,Hello what is the best way to get the from the airport to the hotel,1,0,0,0,0,0,1
